Ticker,CIK,Sector,MarketCap_B,Status
CHT,1132924,Communication Services,33.43,Pass
GELHY,1474968,Consumer Cyclical,33.42,Pass
RMD,943819,Healthcare,33.4,Pass
GELYF,1474968,Consumer Cyclical,33.37,Pass
ALL-PB,899051,Unknown,33.32,Pass
KVUE,1944048,Consumer Defensive,33.21,Pass
IR,1699150,Industrials,32.95,Pass
FISV,798354,Unknown,32.78,Pass
HPE,1645590,Technology,32.72,Pass
WDAY,1327811,Technology,32.64,Pass
BEIGF,1651308,Healthcare,32.53,Pass
BSQKZ,1512673,Technology,32.36,Pass
PAYX,723531,Technology,32.34,Pass
AXON,1069183,Industrials,32.33,Pass
RYAAY,1038683,Industrials,32.31,Pass
CPRT,900075,Industrials,32.29,Pass
ADM,7084,Consumer Defensive,32.26,Pass
JBL,898293,Technology,32.2,Pass
KMB,55785,Consumer Defensive,32.13,Pass
WAT,1000697,Healthcare,32.02,Pass
HMC,715153,Consumer Cyclical,31.83,Pass
OTIS,1781335,Industrials,31.57,Pass
RYAOF,1038683,Industrials,31.56,Pass
EXPE,1324424,Consumer Cyclical,31.55,Pass
HNDAF,715153,Consumer Cyclical,31.53,Pass
FNGD,927971,Unknown,31.28,Pass
CRDO,1807794,Technology,31.05,Pass
HMRZF,1396282,Consumer Cyclical,31.0,Pass
TPR,1116132,Consumer Cyclical,30.98,Pass
FSNUF,904868,Healthcare,30.61,Pass
UAL,100517,Industrials,30.6,Pass
XYL,1524472,Industrials,30.44,Pass
RDDT,1713445,Communication Services,30.28,Pass
HNSPF,2073669,Healthcare,30.27,Pass
IQV,1478242,Healthcare,30.22,Pass
CHLSY,1885110,Consumer Defensive,30.2,Pass
FSNUY,904868,Healthcare,29.87,Pass
TDY,1094285,Technology,29.4,Pass
NTRA,1604821,Healthcare,29.37,Pass
ALAB,1736297,Technology,29.29,Pass
CTSH,1058290,Technology,29.15,Pass
DOV,29905,Industrials,29.06,Pass
FLEX,866374,Technology,29.0,Pass
RPRX,1802768,Healthcare,28.87,Pass
MTZ,15615,Industrials,28.8,Pass
ON,1097864,Technology,28.54,Pass
STZ,16918,Consumer Defensive,28.54,Pass
RYLPF,313216,Healthcare,28.29,Pass
HUBB,48898,Industrials,28.01,Pass
SUNB,2083785,Industrials,28.01,Pass
CHTR,1091667,Communication Services,27.9,Pass
PHG,313216,Healthcare,27.89,Pass
EL,1001250,Consumer Defensive,27.71,Pass
Q,2058873,Technology,27.63,Pass
VEEV,1393052,Healthcare,27.5,Pass
CASY,726958,Consumer Cyclical,27.31,Pass
FOXA,1754301,Communication Services,27.08,Pass
CW,26324,Industrials,27.01,Pass
DG,29534,Consumer Defensive,26.77,Pass
MTD,1037646,Healthcare,26.74,Pass
FOX,1754301,Communication Services,26.63,Pass
VIV,1066119,Communication Services,26.6,Pass
GFS,1709048,Technology,26.53,Pass
BIIB,875045,Healthcare,26.5,Pass
ZM,1585521,Technology,26.36,Pass
RSTRF,1618755,Consumer Cyclical,26.25,Pass
ROL,84839,Consumer Cyclical,26.21,Pass
KHC,1637459,Consumer Defensive,26.05,Pass
TSEM,928876,Technology,25.66,Pass
UTHR,1082554,Healthcare,25.31,Pass
TEFOF,814052,Communication Services,25.26,Pass
UMC,1033767,Technology,25.25,Pass
VRSN,1014473,Technology,25.24,Pass
BNTX,1776985,Healthcare,25.15,Pass
TELFY,814052,Communication Services,25.1,Pass
AER,1378789,Industrials,25.06,Pass
FIS,1136893,Technology,25.02,Pass
XPO,1166003,Industrials,24.69,Pass
IHICF,1567526,Industrials,24.62,Pass
FN,1408710,Technology,24.57,Pass
SLV,1330568,Unknown,24.53,Pass
FICO,814547,Technology,24.45,Pass
VRSK,1442145,Industrials,24.39,Pass
CAJPY,16988,Technology,24.36,Pass
OMC,29989,Communication Services,24.05,Pass
DXCM,1093557,Healthcare,24.0,Pass
CAJFF,16988,Technology,23.93,Pass
ULTA,1403568,Consumer Cyclical,23.92,Pass
HUM,49071,Healthcare,23.92,Pass
WIT,1123799,Technology,23.78,Pass
WWD,108312,Industrials,23.59,Pass
TSCO,916365,Consumer Cyclical,23.55,Pass
TELNY,1126113,Communication Services,23.43,Pass
TELNF,1126113,Communication Services,23.31,Pass
BG,1996862,Consumer Defensive,23.26,Pass
PHM,822416,Consumer Cyclical,23.21,Pass
DRI,940944,Consumer Cyclical,22.99,Pass
WSM,719955,Consumer Cyclical,22.95,Pass
VLTO,1967680,Industrials,22.88,Pass
FWONK,1560385,Communication Services,22.66,Pass
FWONA,1560385,Communication Services,22.54,Pass
EFX,33185,Industrials,22.54,Pass
ICHGF,858446,Consumer Cyclical,22.53,Pass
CHKIF,1041668,Industrials,22.49,Pass
CHD,313927,Consumer Defensive,22.42,Pass
RL,1037038,Consumer Cyclical,22.4,Pass
KOF,910631,Consumer Defensive,22.34,Pass
TSN,100493,Consumer Defensive,22.31,Pass
BCE,718940,Communication Services,22.27,Pass
SGIOF,1281721,Healthcare,22.24,Pass
CPAY,1175454,Technology,22.05,Pass
LH,920148,Healthcare,21.98,Pass
BWXT,1486957,Industrials,21.84,Pass
LEN,920760,Consumer Cyclical,21.78,Pass
STE,1757898,Healthcare,21.74,Pass
SW,2005951,Consumer Cyclical,21.7,Pass
KYOCY,57083,Industrials,21.67,Pass
SOJC,92122,Unknown,21.67,Pass
ATI,1018963,Industrials,21.48,Pass
PSTG,1474432,Technology,21.44,Pass
CRS,17843,Industrials,21.36,Pass
JBHT,728535,Industrials,21.35,Pass
BURL,1579298,Consumer Cyclical,21.31,Pass
HKHHF,1142231,Consumer Defensive,21.25,Pass
NVT,1720635,Industrials,21.25,Pass
LEN-B,920760,Consumer Cyclical,21.2,Pass
DGX,1022079,Healthcare,21.19,Pass
AS,1988894,Consumer Cyclical,21.18,Pass
ZS,1713683,Technology,21.07,Pass
SDMHF,1794363,Healthcare,21.01,Pass
FSLR,1274494,Technology,20.97,Pass
ENTG,1101302,Technology,20.86,Pass
IHG,858446,Consumer Cyclical,20.81,Pass
HKHHY,1142231,Consumer Defensive,20.55,Pass
FWONB,1560385,Communication Services,20.54,Pass
LUV,92380,Industrials,20.49,Pass
LSRCF,1822989,Technology,20.44,Pass
TWLO,1447669,Technology,20.33,Pass
ILMN,1110803,Healthcare,20.22,Pass
DLTR,935703,Consumer Defensive,20.15,Pass
LDOS,1336920,Technology,20.1,Pass
ASBHY,2055337,Unknown,20.03,Pass
GRKZF,1437462,Consumer Cyclical,20.0,Pass
CHRW,1043277,Industrials,19.94,Pass
USFD,1665918,Consumer Defensive,19.9,Pass
NTAP,1002047,Technology,19.87,Pass
MDB,1441816,Technology,19.86,Pass
GPN,1123360,Industrials,19.64,Pass
MTSI,1493594,Technology,19.59,Pass
KYOCF,57083,Industrials,19.56,Pass
DKS,1089063,Consumer Cyclical,19.52,Pass
FLUT,1635327,Consumer Cyclical,19.47,Pass
COCSF,910631,Consumer Defensive,19.43,Pass
ITT,216228,Industrials,19.38,Pass
APG,1796209,Industrials,19.36,Pass
IP,51434,Consumer Cyclical,19.33,Pass
INCY,879169,Healthcare,19.32,Pass
AMCCF,1748790,Consumer Cyclical,19.31,Pass
RBA,1046102,Industrials,19.29,Pass
TU,868675,Communication Services,19.25,Pass
EXPD,746515,Industrials,19.23,Pass
WST,105770,Healthcare,19.21,Pass
VTTGF,1729514,Industrials,19.17,Pass
SNA,91440,Industrials,19.16,Pass
LULU,1397187,Consumer Cyclical,19.09,Pass
ZTO,1677250,Industrials,19.07,Pass
JBS,1791942,Consumer Defensive,19.01,Pass
NVR,906163,Consumer Cyclical,18.91,Pass
SOAGY,1715801,Healthcare,18.87,Pass
FTV,1659166,Technology,18.86,Pass
BR,1383312,Technology,18.78,Pass
AMCR,1748790,Consumer Cyclical,18.76,Pass
WOLTF,861967,Industrials,18.56,Pass
RBC,1324948,Industrials,18.56,Pass
RCIAF,733099,Communication Services,18.49,Pass
CNC,1071739,Healthcare,18.49,Pass
PKG,75677,Consumer Cyclical,18.47,Pass
ZBH,1136869,Healthcare,18.43,Pass
GIS,40704,Consumer Defensive,18.41,Pass
TLK,1001807,Communication Services,18.24,Pass
ULS,1901440,Industrials,18.19,Pass
IVBXF,1774163,Healthcare,18.15,Pass
MKSI,1049502,Technology,18.11,Pass
GMAB,1434265,Healthcare,18.09,Pass
XPNGF,1810997,Consumer Cyclical,17.99,Pass
RCI,733099,Communication Services,17.97,Pass
WTKWY,861967,Industrials,17.96,Pass
DIDIY,1764757,Technology,17.93,Pass
RTO,930157,Industrials,17.66,Pass
HPQ,47217,Technology,17.65,Pass
DQJCF,1446597,Consumer Defensive,17.48,Pass
PHYS,1477049,Unknown,17.45,Pass
TEAM,1650372,Technology,17.41,Pass
BJGPY,2098425,Technology,17.38,Pass
YUMC,1673358,Consumer Cyclical,17.34,Pass
SSNC,1402436,Technology,17.26,Pass
THC,70318,Healthcare,17.01,Pass
FFIV,1048695,Technology,16.99,Pass
HOLX,859737,Healthcare,16.97,Pass
SGI,1206264,Consumer Cyclical,16.93,Pass
WSO,105016,Industrials,16.91,Pass
XPEV,1810997,Consumer Cyclical,16.88,Pass
LII,1069202,Industrials,16.86,Pass
QXO,1236275,Industrials,16.79,Pass
GNMSF,1434265,Healthcare,16.78,Pass
IOT,1642896,Technology,16.75,Pass
CDW,1402057,Technology,16.71,Pass
BALL,9389,Consumer Cyclical,16.7,Pass
TME,1744676,Communication Services,16.64,Pass
TOST,1650164,Technology,16.59,Pass
SNX,1177394,Technology,16.56,Pass
NXT,1852131,Technology,16.56,Pass
HTHT,1483994,Consumer Cyclical,16.53,Pass
NVMI,1109345,Technology,16.45,Pass
SMCI,1375365,Technology,16.39,Pass
PSLV,1494728,Unknown,16.38,Pass
SN,1957132,Consumer Cyclical,16.31,Pass
NIOIF,1736541,Consumer Cyclical,16.29,Pass
PTC,857005,Technology,16.25,Pass
VTRS,1792044,Healthcare,16.14,Pass
ROKU,1428439,Communication Services,16.12,Pass
NIO,1736541,Consumer Cyclical,16.11,Pass
GRAB,1855612,Technology,16.07,Pass
NWS,1564708,Communication Services,16.0,Pass
GIB,1061574,Technology,15.92,Pass
DECK,910521,Consumer Cyclical,15.87,Pass
CLH,822818,Industrials,15.78,Pass
TXT,217346,Industrials,15.76,Pass
MGA,749098,Consumer Cyclical,15.71,Pass
PUGBY,2029472,Consumer Defensive,15.71,Pass
HII,1501585,Industrials,15.68,Pass
LTM,1047716,Industrials,15.68,Pass
TRMB,864749,Technology,15.62,Pass
KSPI,1985487,Technology,15.59,Pass
H,1468174,Consumer Cyclical,15.44,Pass
GPC,40987,Consumer Cyclical,15.36,Pass
NDSN,72331,Industrials,15.34,Pass
FMCQF,1333141,Healthcare,15.3,Pass
TKO,1973266,Communication Services,15.24,Pass
WMG,1319161,Communication Services,15.17,Pass
J,52988,Industrials,15.03,Pass
ASBRF,2055337,Consumer Defensive,15.0,Pass
WSO-B,105016,Industrials,14.96,Pass
WCC,929008,Industrials,14.89,Pass
LSCC,855658,Technology,14.84,Pass
ASND,1612042,Healthcare,14.84,Pass
IEX,832101,Industrials,14.83,Pass
MEDP,1668397,Healthcare,14.81,Pass
AMKR,1047127,Technology,14.8,Pass
APTV,1521332,Consumer Cyclical,14.68,Pass
NWSA,1564708,Communication Services,14.63,Pass
USO,1327068,Unknown,14.6,Pass
SNN,845982,Healthcare,14.6,Pass
PAYP,2080845,Technology,14.59,Pass
TYL,860731,Technology,14.51,Pass
PNR,77360,Industrials,14.42,Pass
LOGI,1032975,Technology,14.4,Pass
MKC,63754,Consumer Defensive,14.34,Pass
MKC-V,63754,Consumer Defensive,14.33,Pass
CSL,790051,Industrials,14.33,Pass
PODD,1145197,Healthcare,14.26,Pass
AEIS,927003,Industrials,14.23,Pass
GGG,42888,Industrials,14.13,Pass
CRRFY,1078642,Consumer Defensive,14.08,Pass
GFL,1780232,Industrials,14.08,Pass
CHKP,1015922,Technology,14.04,Pass
SKM,1015650,Communication Services,14.0,Pass
LECO,59527,Industrials,14.0,Pass
STRL,874238,Industrials,13.99,Pass
CAR,723612,Industrials,13.98,Pass
PFGC,1618673,Consumer Defensive,13.96,Pass
SBMFF,1604982,Healthcare,13.91,Pass
BF-A,14693,Consumer Defensive,13.8,Pass
COO,711404,Healthcare,13.71,Pass
BF-B,14693,Consumer Defensive,13.56,Pass
SNNUF,845982,Healthcare,13.4,Pass
LPGCY,2068440,Consumer Cyclical,13.4,Pass
MLI,89439,Industrials,13.39,Pass
CRERF,1078642,Consumer Defensive,13.37,Pass
ALGN,1097149,Healthcare,13.36,Pass
AKAM,1086222,Technology,13.31,Pass
TOL,794170,Consumer Cyclical,13.28,Pass
